trt,plot,flag,tree,sample,rep,cluster,fruit
thin,3,green/black,4,non-dest,2,17,5
thin,3,green/black,4,non-dest,2,17,6
thin,3,green/black,4,non-dest,2,18,1
thin,3,green/black,4,non-dest,2,18,2
thin,3,green/black,4,non-dest,2,18,3
thin,3,green/black,4,non-dest,2,18,4
thin,3,green/black,4,non-dest,2,18,5
thin,3,green/black,4,non-dest,2,18,6
thin,3,green/black,4,non-dest,2,19,1
thin,3,green/black,4,non-dest,2,19,2
thin,3,green/black,4,non-dest,2,19,3
thin,3,green/black,4,non-dest,2,19,4
thin,3,green/black,4,non-dest,2,19,5
thin,3,green/black,4,non-dest,2,19,6
thin,3,green/black,4,non-dest,2,20,1
thin,3,green/black,4,non-dest,2,20,2
thin,3,green/black,4,non-dest,2,20,3
thin,3,green/black,4,non-dest,2,20,4
thin,3,green/black,4,non-dest,2,20,5
thin,3,green/black,4,non-dest,2,20,6
thin,4,green/black,4,non-dest,3,1,1
thin,4,green/black,4,non-dest,3,1,2
thin,4,green/black,4,non-dest,3,1,3
thin,4,green/black,4,non-dest,3,1,4
thin,4,green/black,4,non-dest,3,1,5
thin,4,green/black,4,non-dest,3,1,6
thin,4,green/black,4,non-dest,3,2,1
thin,4,green/black,4,non-dest,3,2,2
thin,4,green/black,4,non-dest,3,2,3
thin,4,green/black,4,non-dest,3,2,4
thin,4,green/black,4,non-dest,3,2,5
thin,4,green/black,4,non-dest,3,2,6
thin,4,green/black,4,non-dest,3,3,1
thin,4,green/black,4,non-dest,3,3,2
thin,4,green/black,4,non-dest,3,3,3
thin,4,green/black,4,non-dest,3,3,4
thin,4,green/black,4,non-dest,3,3,5
thin,4,green/black,4,non-dest,3,3,6
thin,4,green/black,4,non-dest,3,4,1
thin,4,green/black,4,non-dest,3,4,2
thin,4,green/black,4,non-dest,3,4,3
thin,4,green/black,4,non-dest,3,4,4
thin,4,green/black,4,non-dest,3,4,5
thin,4,green/black,4,non-dest,3,4,6
thin,4,green/black,4,non-dest,3,5,1
thin,4,green/black,4,non-dest,3,5,2
thin,4,green/black,4,non-dest,3,5,3
thin,4,green/black,4,non-dest,3,5,4
thin,4,green/black,4,non-dest,3,5,5
thin,4,green/black,4,non-dest,3,5,6
thin,4,green/black,4,non-dest,3,6,1
thin,4,green/black,4,non-dest,3,6,2
thin,4,green/black,4,non-dest,3,6,3
thin,4,green/black,4,non-dest,3,6,4
thin,4,green/black,4,non-dest,3,6,5
thin,4,green/black,4,non-dest,3,6,6
thin,4,green/black,4,non-dest,3,7,1
thin,4,green/black,4,non-dest,3,7,2
thin,4,green/black,4,non-dest,3,7,3
thin,4,green/black,4,non-dest,3,7,4
thin,4,green/black,4,non-dest,3,7,5
thin,4,green/black,4,non-dest,3,7,6
thin,4,green/black,4,non-dest,3,8,1
thin,4,green/black,4,non-dest,3,8,2
thin,4,green/black,4,non-dest,3,8,3
thin,4,green/black,4,non-dest,3,8,4
thin,4,green/black,4,non-dest,3,8,5
thin,4,green/black,4,non-dest,3,8,6
thin,4,green/black,4,non-dest,3,9,1
thin,4,green/black,4,non-dest,3,9,2
thin,4,green/black,4,non-dest,3,9,3
thin,4,green/black,4,non-dest,3,9,4
thin,4,green/black,4,non-dest,3,9,5
thin,4,green/black,4,non-dest,3,9,6
thin,4,green/black,4,non-dest,3,10,1
thin,4,green/black,4,non-dest,3,10,2
thin,4,green/black,4,non-dest,3,10,3
thin,4,green/black,4,non-dest,3,10,4
thin,4,green/black,4,non-dest,3,10,5
thin,4,green/black,4,non-dest,3,10,6
thin,4,green/black,4,non-dest,3,11,1
thin,4,green/black,4,non-dest,3,11,2
thin,4,green/black,4,non-dest,3,11,3
thin,4,green/black,4,non-dest,3,11,4
thin,4,green/black,4,non-dest,3,11,5
thin,4,green/black,4,non-dest,3,11,6
thin,4,green/black,4,non-dest,3,12,1
thin,4,green/black,4,non-dest,3,12,2
thin,4,green/black,4,non-dest,3,12,3
thin,4,green/black,4,non-dest,3,12,4
thin,4,green/black,4,non-dest,3,12,5
thin,4,green/black,4,non-dest,3,12,6
thin,4,green/black,4,non-dest,3,13,1
thin,4,green/black,4,non-dest,3,13,2
thin,4,green/black,4,non-dest,3,13,3
thin,4,green/black,4,non-dest,3,13,4
thin,4,green/black,4,non-dest,3,13,5
thin,4,green/black,4,non-dest,3,13,6
thin,4,green/black,4,non-dest,3,14,1
thin,4,green/black,4,non-dest,3,14,2
thin,4,green/black,4,non-dest,3,14,3
thin,4,green/black,4,non-dest,3,14,4
thin,4,green/black,4,non-dest,3,14,5
thin,4,green/black,4,non-dest,3,14,6
thin,4,green/black,4,non-dest,3,15,1
thin,4,green/black,4,non-dest,3,15,2
thin,4,green/black,4,non-dest,3,15,3
thin,4,green/black,4,non-dest,3,15,4
thin,4,green/black,4,non-dest,3,15,5
